time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,digits,hl2,hlc3,ohlc4,range,range_pct,range_points,hour,is_london_session,is_us_session,is_asian_session,is_high_impact_hour,body,body_pct,upper_shadow,lower_shadow,is_bullish,is_doji,price_change,price_change_pct,price_change_points,atr_14,volatility_pct,sma_20,sma_50,ema_20,volume_ma,volume_ratio,prev_high,prev_low,higher_high,lower_low,swing_high,swing_low,swing_high_price,swing_low_price,swing_strength,higher_low,lower_high,market_structure,structure_strength,choch,bos,structure_break,break_strength,bullish_ob,bearish_ob,ob_high,ob_low,ob_strength,bullish_fvg,bearish_fvg,fvg_high,fvg_low,fvg_size,fvg_efficiency,buy_liquidity,sell_liquidity,liquidity_strength,liquidity_proximity,structure_momentum,gold_volatility,gold_momentum,ob_distance,ob_age,fvg_unfilled,smc_confluence,session_weighted_confluence
2023-06-12 00:00:00,1960.21,1960.5,1957.98,1958.23,7499,1,0,XAUUSD.v,H4,2,1959.24,1958.9033333333332,1959.23,2.519999999999982,0.1286876413904384,251.99999999999815,0,0,0,1,0,1.9800000000000184,78.57142857142986,0.2899999999999636,0.25,0,0,,,,,,,,1958.23,,1.0,,,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,,,,,0,0,0,0.0
2023-06-12 04:00:00,1958.23,1959.5,1954.22,1956.98,20459,1,0,XAUUSD.v,H4,2,1956.86,1956.9000000000003,1957.2325,5.279999999999973,0.2698034726977267,527.9999999999973,4,0,0,1,0,1.25,23.674242424242543,1.2699999999999818,2.759999999999991,0,0,-1.25,-0.0638331554516091,-125.0,,,,,1957.57375,,1.0,1960.5,1957.98,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,,,,,0,0,0,0.0
2023-06-12 08:00:00,1956.98,1965.46,1956.54,1964.93,35438,0,0,XAUUSD.v,H4,2,1961.0,1962.31,1960.9775,8.920000000000073,0.4539601919661297,892.0000000000073,8,1,0,0,1,7.950000000000045,89.12556053811637,0.5299999999999727,0.4400000000000545,1,0,7.950000000000045,0.406238183323282,795.0000000000045,,,,,1960.274920899251,,1.0,1959.5,1954.22,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,1,0,1961.03,1959.5,1.5299999999999727,0.1715246636771256,0,0,0,,,,,,0,0,1,1.5
2023-06-12 12:00:00,1964.93,1967.01,1961.03,1962.83,32903,0,0,XAUUSD.v,H4,2,1964.02,1963.6233333333328,1963.95,5.980000000000018,0.3046621459830967,598.0000000000018,12,1,0,0,0,2.1000000000001364,35.117056856189464,2.0799999999999272,1.7999999999999543,0,0,-2.1000000000001364,-0.1068740362252129,-210.00000000001364,,,,,1961.0125327306732,,1.0,1965.46,1956.54,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,,,,,0,0,0,0.0
2023-06-12 16:00:00,1962.83,1964.03,1949.18,1954.15,67600,0,0,XAUUSD.v,H4,2,1956.605,1955.7866666666669,1957.5475,14.849999999999907,0.7599211933577212,1484.999999999991,16,1,1,0,0,8.679999999999836,58.45117845117771,1.2000000000000457,4.970000000000027,0,0,-8.679999999999836,-0.4422186332998734,-867.9999999999836,,,,,1959.3525444620093,,1.0,1967.01,1961.03,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,1,1961.03,1958.74,2.2899999999999636,0.1542087542087527,0,0,0,,,,,,0,0,1,1.9500000000000002
2023-06-12 20:00:00,1954.15,1958.74,1953.21,1956.9,22686,0,0,XAUUSD.v,H4,2,1955.975,1956.2833333333333,1955.75,5.529999999999973,0.2825898104144296,552.9999999999973,20,0,1,0,0,2.75,49.72875226039808,1.839999999999918,0.9400000000000546,1,0,2.75,0.1407261469180909,275.0,,,,,1958.835169606387,,1.0,1964.03,1949.18,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,,,,,0,0,0,0.0
2023-06-13 00:00:00,1957.14,1960.95,1956.77,1957.96,5936,1,0,XAUUSD.v,H4,2,1958.86,1958.56,1958.205,4.180000000000064,0.2134875074056703,418.0000000000064,0,0,0,1,0,0.8199999999999363,19.617224880380952,2.990000000000009,0.3700000000001182,1,0,1.0599999999999454,0.0541673054320623,105.99999999999454,,,,,1958.669696695851,,1.0,1958.74,1953.21,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,,,,,0,0,0,0.0
2023-06-13 04:00:00,1957.96,1962.2,1955.89,1960.92,21120,1,0,XAUUSD.v,H4,2,1959.045,1959.67,1959.2425,6.309999999999945,0.3217877322889228,630.9999999999945,4,0,0,1,0,2.9600000000000364,46.90966719492967,1.2799999999999727,2.0699999999999363,1,0,2.9600000000000364,0.1511777564403793,296.00000000000364,,,,,1959.0586729292747,,1.0,1960.95,1956.77,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,,,,,0,0,0,0.0
2023-06-13 08:00:00,1960.92,1965.38,1958.26,1964.23,30014,0,0,XAUUSD.v,H4,2,1961.82,1962.6233333333337,1962.1975,7.120000000000118,0.3624830086089775,712.0000000000118,8,1,0,0,1,3.309999999999945,46.48876404494228,1.150000000000091,2.660000000000082,1,0,3.309999999999945,0.1687983191563047,330.99999999999454,,,,,1959.888179077976,,1.0,1962.2,1955.89,0,0,0,0,,,0.0,0,0,0,0.0,0,0,0,0.0,0,1,1965.38,1958.26,0.1623890596754294,0,0,,,,,0,0,0,,,,,0.0005854711515454355,0,0,1,1.5
2023-06-13 12:00:00,1964.23,1971.15,1947.47,1961.4,49512,0,0,XAUUSD.v,H4,2,1959.31,1960.006666666667,1961.0625,23.680000000000064,1.2073009075150436,2368.0000000000064,12,1,0,0,0,2.8299999999999272,11.951013513513177,6.920000000000073,13.930000000000064,0,0,-2.8299999999999272,-0.1440768138150749,-282.9999999999927,,,,,1960.1158462091544,,1.0,1965.38,1958.26,0,0,1,0,1971.15,,31.310000000000173,0,0,0,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,,,843.7000000000011,,0,0,0,0.0
