time,Open,High,Low,Close,Volume,Hour,Day_of_week,Day_of_month,Month,Year,Is_asian_hours,Is_european_hours,Is_us_hours,Is_monday,Is_friday,Is_weekend
2018-06-07,1296.66,1303.18,1294.91,1297.1,259611,0,3,7,6,2018,1,0,0,0,0,0
2018-06-08,1296.95,1300.59,1292.85,1298.6,240282,0,4,8,6,2018,1,0,0,0,1,0
2018-06-10,1299.2,1299.22,1298.13,1298.57,1776,0,6,10,6,2018,1,0,0,0,0,1
2018-06-11,1299.71,1302.34,1294.14,1300.26,191697,0,0,11,6,2018,1,0,0,1,0,0
2018-06-12,1300.34,1300.59,1293.09,1295.78,228622,0,1,12,6,2018,1,0,0,0,0,0
2018-06-13,1295.83,1301.19,1292.17,1299.52,215910,0,2,13,6,2018,1,0,0,0,0,0
2018-06-14,1299.73,1309.3,1297.56,1302.16,260710,0,3,14,6,2018,1,0,0,0,0,0
2018-06-15,1302.3,1303.16,1275.48,1280.1,279767,0,4,15,6,2018,1,0,0,0,1,0
2018-06-17,1279.04,1280.0,1278.74,1279.87,2460,0,6,17,6,2018,1,0,0,0,0,1
2018-06-18,1278.04,1282.45,1277.08,1278.34,179049,0,0,18,6,2018,1,0,0,1,0,0
2018-06-19,1278.49,1284.09,1270.46,1274.44,276624,0,1,19,6,2018,1,0,0,0,0,0
2018-06-20,1274.73,1276.45,1267.67,1267.95,229992,0,2,20,6,2018,1,0,0,0,0,0
2018-06-21,1268.17,1270.15,1261.38,1267.09,260313,0,3,21,6,2018,1,0,0,0,0,0
2018-06-22,1267.17,1271.24,1266.74,1269.21,204134,0,4,22,6,2018,1,0,0,0,1,0
2018-06-24,1270.27,1271.87,1269.75,1271.08,1244,0,6,24,6,2018,1,0,0,0,0,1
2018-06-25,1270.13,1272.6,1264.5,1265.47,223226,0,0,25,6,2018,1,0,0,1,0,0
2018-06-26,1266.16,1267.68,1254.75,1258.83,237754,0,1,26,6,2018,1,0,0,0,0,0
2018-06-27,1258.54,1260.11,1250.73,1252.03,289192,0,2,27,6,2018,1,0,0,0,0,0
2018-06-28,1252.1,1254.31,1245.98,1248.19,269056,0,3,28,6,2018,1,0,0,0,0,0
2018-06-29,1248.04,1255.66,1246.19,1252.63,255252,0,4,29,6,2018,1,0,0,0,1,0
2018-07-01,1252.65,1253.62,1252.39,1252.94,2658,0,6,1,7,2018,1,0,0,0,0,1
2018-07-02,1251.55,1254.23,1239.71,1241.9,226587,0,0,2,7,2018,1,0,0,1,0,0
2018-07-03,1241.8,1256.9,1237.97,1252.71,244023,0,1,3,7,2018,1,0,0,0,0,0
2018-07-04,1252.19,1261.12,1252.03,1255.68,160621,0,2,4,7,2018,1,0,0,0,0,0
2018-07-05,1256.67,1259.78,1251.33,1257.64,242282,0,3,5,7,2018,1,0,0,0,0,0
2018-07-06,1257.53,1258.83,1252.83,1254.69,211404,0,4,6,7,2018,1,0,0,0,1,0
2018-07-08,1255.13,1256.0,1254.84,1255.79,384,0,6,8,7,2018,1,0,0,0,0,1
2018-07-09,1255.37,1265.98,1255.27,1257.64,187893,0,0,9,7,2018,1,0,0,1,0,0
2018-07-10,1257.62,1260.38,1247.38,1255.31,206407,0,1,10,7,2018,1,0,0,0,0,0
2018-07-11,1255.79,1256.93,1241.57,1242.08,268250,0,2,11,7,2018,1,0,0,0,0,0
2018-07-12,1242.28,1248.58,1241.34,1246.9,207960,0,3,12,7,2018,1,0,0,0,0,0
2018-07-13,1247.05,1248.14,1236.52,1241.21,212216,0,4,13,7,2018,1,0,0,0,1,0
2018-07-15,1241.21,1241.9,1241.1,1241.55,1324,0,6,15,7,2018,1,0,0,0,0,1
2018-07-16,1240.93,1245.58,1238.36,1240.79,170055,0,0,16,7,2018,1,0,0,1,0,0
2018-07-17,1240.59,1245.03,1226.11,1227.57,231143,0,1,17,7,2018,1,0,0,0,0,0
2018-07-18,1227.31,1229.17,1221.09,1227.5,212880,0,2,18,7,2018,1,0,0,0,0,0
2018-07-19,1227.48,1229.15,1211.46,1222.76,300893,0,3,19,7,2018,1,0,0,0,0,0
2018-07-20,1223.42,1232.29,1215.7,1231.79,322525,0,4,20,7,2018,1,0,0,0,1,0
2018-07-22,1230.69,1231.85,1230.17,1231.8,2268,0,6,22,7,2018,1,0,0,0,0,1
2018-07-23,1231.55,1235.16,1222.28,1224.5,257776,0,0,23,7,2018,1,0,0,1,0,0
2018-07-24,1224.82,1229.55,1218.15,1224.18,263874,0,1,24,7,2018,1,0,0,0,0,0
2018-07-25,1224.25,1234.2,1223.28,1231.46,259801,0,2,25,7,2018,1,0,0,0,0,0
2018-07-26,1231.38,1235.26,1222.37,1222.57,249300,0,3,26,7,2018,1,0,0,0,0,0
2018-07-27,1223.07,1227.36,1217.58,1222.46,207815,0,4,27,7,2018,1,0,0,0,1,0
2018-07-29,1223.29,1223.71,1222.94,1223.01,1032,0,6,29,7,2018,1,0,0,0,0,1
2018-07-30,1222.77,1225.11,1219.03,1221.46,167614,0,0,30,7,2018,1,0,0,1,0,0
2018-07-31,1221.75,1228.64,1214.0,1223.5,253875,0,1,31,7,2018,1,0,0,0,0,0
2018-08-01,1223.79,1224.85,1215.82,1215.84,227282,0,2,1,8,2018,1,0,0,0,0,0
2018-08-02,1216.18,1221.23,1207.12,1207.77,230093,0,3,2,8,2018,1,0,0,0,0,0
2018-08-03,1207.95,1220.07,1204.5,1213.33,236331,0,4,3,8,2018,1,0,0,0,1,0
2018-08-05,1213.71,1214.21,1213.43,1213.64,1501,0,6,5,8,2018,1,0,0,0,0,1
2018-08-06,1213.79,1217.89,1206.26,1207.35,180566,0,0,6,8,2018,1,0,0,1,0,0
2018-08-07,1207.63,1216.17,1207.55,1210.87,186292,0,1,7,8,2018,1,0,0,0,0,0
2018-08-08,1210.86,1215.87,1206.46,1213.66,204438,0,2,8,8,2018,1,0,0,0,0,0
2018-08-09,1213.77,1217.31,1210.79,1212.17,211586,0,3,9,8,2018,1,0,0,0,0,0
2018-08-10,1212.47,1217.12,1205.77,1211.11,316801,0,4,10,8,2018,1,0,0,0,1,0
2018-08-12,1212.43,1213.03,1211.88,1212.4,2143,0,6,12,8,2018,1,0,0,0,0,1
2018-08-13,1211.05,1213.88,1191.68,1193.55,312943,0,0,13,8,2018,1,0,0,1,0,0
2018-08-14,1193.99,1198.75,1192.08,1193.95,236351,0,1,14,8,2018,1,0,0,0,0,0
2018-08-15,1194.14,1194.73,1173.12,1174.69,313036,0,2,15,8,2018,1,0,0,0,0,0
2018-08-16,1175.42,1182.04,1160.19,1174.06,350240,0,3,16,8,2018,1,0,0,0,0,0
2018-08-17,1173.63,1185.05,1171.94,1184.61,270961,0,4,17,8,2018,1,0,0,0,1,0
2018-08-19,1183.42,1183.59,1182.65,1183.17,1864,0,6,19,8,2018,1,0,0,0,0,1
2018-08-20,1183.32,1190.88,1182.81,1190.49,204331,0,0,20,8,2018,1,0,0,1,0,0
2018-08-21,1190.45,1197.04,1187.68,1196.07,236670,0,1,21,8,2018,1,0,0,0,0,0
2018-08-22,1196.07,1201.62,1192.59,1195.45,234991,0,2,22,8,2018,1,0,0,0,0,0
2018-08-23,1196.0,1196.63,1183.91,1185.2,240101,0,3,23,8,2018,1,0,0,0,0,0
2018-08-24,1185.51,1208.62,1183.15,1205.96,265031,0,4,24,8,2018,1,0,0,0,1,0
2018-08-26,1207.31,1207.57,1206.23,1206.54,2063,0,6,26,8,2018,1,0,0,0,0,1
2018-08-27,1207.25,1212.43,1203.11,1211.27,204082,0,0,27,8,2018,1,0,0,1,0,0
2018-08-28,1211.34,1214.32,1199.65,1201.05,242276,0,1,28,8,2018,1,0,0,0,0,0
2018-08-29,1200.82,1207.27,1200.77,1206.55,240223,0,2,29,8,2018,1,0,0,0,0,0
2018-08-30,1206.45,1207.9,1196.28,1199.83,259475,0,3,30,8,2018,1,0,0,0,0,0
2018-08-31,1200.31,1208.88,1198.28,1201.01,268686,0,4,31,8,2018,1,0,0,0,1,0
2018-09-02,1200.59,1200.59,1199.24,1199.57,1300,0,6,2,9,2018,1,0,0,0,0,1
2018-09-03,1200.69,1203.9,1195.68,1201.06,150322,0,0,3,9,2018,1,0,0,1,0,0
2018-09-04,1201.46,1202.03,1189.66,1191.41,262969,0,1,4,9,2018,1,0,0,0,0,0
2018-09-05,1191.49,1198.43,1190.9,1196.58,227698,0,2,5,9,2018,1,0,0,0,0,0
2018-09-06,1197.1,1207.01,1195.84,1199.97,257715,0,3,6,9,2018,1,0,0,0,0,0
2018-09-07,1199.85,1203.54,1193.48,1195.78,275654,0,4,7,9,2018,1,0,0,0,1,0
2018-09-09,1196.38,1196.47,1194.9,1194.92,1378,0,6,9,9,2018,1,0,0,0,0,1
2018-09-10,1195.08,1198.54,1191.57,1195.83,207334,0,0,10,9,2018,1,0,0,1,0,0
2018-09-11,1195.31,1199.4,1187.75,1198.64,213815,0,1,11,9,2018,1,0,0,0,0,0
2018-09-12,1198.27,1208.5,1192.72,1206.15,252494,0,2,12,9,2018,1,0,0,0,0,0
2018-09-13,1206.93,1212.67,1200.21,1201.41,246379,0,3,13,9,2018,1,0,0,0,0,0
2018-09-14,1201.72,1208.54,1193.04,1193.51,207082,0,4,14,9,2018,1,0,0,0,1,0
2018-09-16,1193.68,1194.63,1193.64,1194.1,1039,0,6,16,9,2018,1,0,0,0,0,1
2018-09-17,1194.29,1204.79,1192.81,1201.05,198461,0,0,17,9,2018,1,0,0,1,0,0
2018-09-18,1201.72,1203.58,1195.9,1198.26,254165,0,1,18,9,2018,1,0,0,0,0,0
2018-09-19,1197.94,1206.23,1197.66,1203.92,213631,0,2,19,9,2018,1,0,0,0,0,0
2018-09-20,1203.66,1208.46,1201.33,1207.09,217686,0,3,20,9,2018,1,0,0,0,0,0
2018-09-21,1207.38,1211.06,1191.85,1199.61,231762,0,4,21,9,2018,1,0,0,0,1,0
2018-09-23,1198.78,1198.83,1197.6,1197.64,1332,0,6,23,9,2018,1,0,0,0,0,1
2018-09-24,1199.09,1204.21,1194.46,1198.81,185044,0,0,24,9,2018,1,0,0,1,0,0
2018-09-25,1198.76,1203.37,1197.12,1201.15,197088,0,1,25,9,2018,1,0,0,0,0,0
2018-09-26,1201.08,1202.49,1190.55,1194.37,228033,0,2,26,9,2018,1,0,0,0,0,0
2018-09-27,1194.79,1198.64,1181.9,1182.76,245291,0,3,27,9,2018,1,0,0,0,0,0
2018-09-28,1182.83,1193.84,1180.67,1191.95,232343,0,4,28,9,2018,1,0,0,0,1,0
2018-09-30,1191.82,1192.01,1191.28,1191.35,1288,0,6,30,9,2018,1,0,0,0,0,1
2018-10-01,1192.38,1192.41,1184.63,1188.74,212309,0,0,1,10,2018,1,0,0,1,0,0
2018-10-02,1188.77,1208.27,1188.46,1202.94,230505,0,1,2,10,2018,1,0,0,0,0,0
2018-10-03,1203.18,1208.3,1196.62,1197.28,244750,0,2,3,10,2018,1,0,0,0,0,0
2018-10-04,1197.67,1206.79,1196.01,1199.83,256511,0,3,4,10,2018,1,0,0,0,0,0
2018-10-05,1199.67,1205.84,1197.29,1202.91,248415,0,4,5,10,2018,1,0,0,0,1,0
2018-10-07,1203.17,1203.54,1202.82,1203.04,988,0,6,7,10,2018,1,0,0,0,0,1
2018-10-08,1203.1,1204.1,1183.4,1187.95,202809,0,0,8,10,2018,1,0,0,1,0,0
2018-10-09,1188.47,1191.93,1183.33,1189.54,237964,0,1,9,10,2018,1,0,0,0,0,0
2018-10-10,1189.44,1194.8,1185.36,1194.64,232603,0,2,10,10,2018,1,0,0,0,0,0
2018-10-11,1194.6,1226.34,1191.3,1224.2,363778,0,3,11,10,2018,1,0,0,0,0,0
2018-10-12,1223.98,1223.98,1215.87,1218.08,268702,0,4,12,10,2018,1,0,0,0,1,0
2018-10-14,1217.76,1219.17,1217.72,1218.76,1643,0,6,14,10,2018,1,0,0,0,0,1
2018-10-15,1217.03,1233.3,1216.89,1226.86,236937,0,0,15,10,2018,1,0,0,1,0,0
2018-10-16,1227.03,1232.45,1223.39,1224.72,218901,0,1,16,10,2018,1,0,0,0,0,0
2018-10-17,1224.14,1229.54,1220.67,1222.22,232658,0,2,17,10,2018,1,0,0,0,0,0
2018-10-18,1222.01,1230.16,1218.72,1225.75,249319,0,3,18,10,2018,1,0,0,0,0,0
2018-10-19,1225.57,1230.83,1223.15,1226.26,219292,0,4,19,10,2018,1,0,0,0,1,0
2018-10-21,1227.98,1228.0,1226.96,1227.06,1198,0,6,21,10,2018,1,0,0,0,0,1
2018-10-22,1227.2,1229.59,1220.11,1222.0,199313,0,0,22,10,2018,1,0,0,1,0,0
2018-10-23,1222.03,1239.78,1221.74,1230.11,247544,0,1,23,10,2018,1,0,0,0,0,0
2018-10-24,1230.5,1234.25,1225.66,1234.04,233433,0,2,24,10,2018,1,0,0,0,0,0
2018-10-25,1234.41,1239.24,1228.14,1232.1,249178,0,3,25,10,2018,1,0,0,0,0,0
2018-10-26,1232.21,1243.45,1230.08,1233.61,317700,0,4,26,10,2018,1,0,0,0,1,0
2018-10-28,1233.62,1234.89,1233.04,1233.11,3472,0,6,28,10,2018,1,0,0,0,0,1
2018-10-29,1233.75,1235.41,1224.38,1229.35,253512,0,0,29,10,2018,1,0,0,1,0,0
2018-10-30,1229.89,1230.63,1219.93,1223.02,246685,0,1,30,10,2018,1,0,0,0,0,0
2018-10-31,1222.89,1223.32,1212.02,1214.63,220141,0,2,31,10,2018,1,0,0,0,0,0
2018-11-01,1215.09,1237.39,1214.72,1233.14,253196,0,3,1,11,2018,1,0,0,0,0,0
2018-11-02,1233.85,1236.45,1229.77,1232.96,288497,0,4,2,11,2018,1,0,0,0,1,0
2018-11-04,1233.01,1234.07,1232.96,1233.95,3353,0,6,4,11,2018,1,0,0,0,0,1
2018-11-05,1233.0,1235.18,1226.88,1231.59,187840,0,0,5,11,2018,1,0,0,1,0,0
2018-11-06,1231.54,1235.95,1223.51,1226.93,195778,0,1,6,11,2018,1,0,0,0,0,0
2018-11-07,1227.1,1236.43,1223.01,1226.55,274532,0,2,7,11,2018,1,0,0,0,0,0
2018-11-08,1226.4,1227.17,1220.16,1223.49,228501,0,3,8,11,2018,1,0,0,0,0,0
2018-11-09,1223.58,1223.66,1206.8,1209.37,218026,0,4,9,11,2018,1,0,0,0,1,0
2018-11-11,1209.41,1210.63,1209.08,1210.6,3634,0,6,11,11,2018,1,0,0,0,0,1
2018-11-12,1209.52,1211.51,1200.19,1200.47,190790,0,0,12,11,2018,1,0,0,1,0,0
2018-11-13,1200.63,1205.25,1196.33,1202.12,245414,0,1,13,11,2018,1,0,0,0,0,0
2018-11-14,1202.4,1216.6,1197.71,1210.78,255383,0,2,14,11,2018,1,0,0,0,0,0
2018-11-15,1210.91,1216.48,1208.06,1213.26,253460,0,3,15,11,2018,1,0,0,0,0,0
2018-11-16,1213.78,1225.33,1213.23,1221.51,203953,0,4,16,11,2018,1,0,0,0,1,0
2018-11-18,1221.85,1222.57,1221.42,1222.39,3550,0,6,18,11,2018,1,0,0,0,0,1
2018-11-19,1222.14,1225.29,1218.03,1224.02,181163,0,0,19,11,2018,1,0,0,1,0,0
2018-11-20,1223.87,1228.79,1219.98,1221.56,211177,0,1,20,11,2018,1,0,0,0,0,0
2018-11-21,1221.77,1230.08,1219.78,1225.93,181482,0,2,21,11,2018,1,0,0,0,0,0
2018-11-22,1226.2,1229.13,1224.88,1227.37,97261,0,3,22,11,2018,1,0,0,0,0,0
2018-11-23,1226.88,1228.58,1220.19,1222.78,131827,0,4,23,11,2018,1,0,0,0,1,0
2018-11-25,1223.51,1224.25,1223.14,1224.25,4099,0,6,25,11,2018,1,0,0,0,0,1
2018-11-26,1223.51,1228.1,1221.77,1222.27,158917,0,0,26,11,2018,1,0,0,1,0,0
2018-11-27,1222.15,1225.3,1211.93,1215.03,173588,0,1,27,11,2018,1,0,0,0,0,0
2018-11-28,1214.81,1224.16,1211.59,1220.85,156769,0,2,28,11,2018,1,0,0,0,0,0
2018-11-29,1221.24,1229.03,1220.62,1224.23,196277,0,3,29,11,2018,1,0,0,0,0,0
2018-11-30,1224.15,1225.61,1216.71,1222.22,145895,0,4,30,11,2018,1,0,0,0,1,0
2018-12-02,1222.87,1223.12,1221.87,1221.97,6306,0,6,2,12,2018,1,0,0,0,0,1
2018-12-03,1222.98,1234.98,1221.32,1230.71,201497,0,0,3,12,2018,1,0,0,1,0,0
2018-12-04,1230.88,1241.59,1230.6,1238.46,218378,0,1,4,12,2018,1,0,0,0,0,0
2018-12-05,1239.0,1239.28,1233.34,1237.09,126965,0,2,5,12,2018,1,0,0,0,0,0
2018-12-06,1237.46,1244.36,1234.78,1237.82,240030,0,3,6,12,2018,1,0,0,0,0,0
2018-12-07,1237.59,1250.07,1237.33,1248.59,207445,0,4,7,12,2018,1,0,0,0,1,0
2018-12-09,1250.31,1250.36,1248.73,1248.88,6587,0,6,9,12,2018,1,0,0,0,0,1
2018-12-10,1249.74,1250.94,1241.77,1244.37,215015,0,0,10,12,2018,1,0,0,1,0,0
2018-12-11,1244.52,1249.57,1241.07,1243.02,213267,0,1,11,12,2018,1,0,0,0,0,0
2018-12-12,1243.23,1247.25,1242.03,1245.58,183783,0,2,12,12,2018,1,0,0,0,0,0
2018-12-13,1245.99,1246.76,1240.17,1241.94,171115,0,3,13,12,2018,1,0,0,0,0,0
2018-12-14,1241.84,1243.08,1232.95,1238.38,161158,0,4,14,12,2018,1,0,0,0,1,0
2018-12-16,1237.19,1237.8,1236.84,1236.96,2068,0,6,16,12,2018,1,0,0,0,0,1
2018-12-17,1236.11,1248.14,1235.83,1245.89,174184,0,0,17,12,2018,1,0,0,1,0,0
2018-12-18,1246.11,1250.41,1245.1,1249.46,192961,0,1,18,12,2018,1,0,0,0,0,0
2018-12-19,1249.78,1258.09,1241.76,1242.98,248255,0,2,19,12,2018,1,0,0,0,0,0
2018-12-20,1243.07,1266.51,1242.78,1259.67,309941,0,3,20,12,2018,1,0,0,0,0,0
2018-12-21,1260.0,1262.79,1253.96,1255.46,252346,0,4,21,12,2018,1,0,0,0,1,0
2018-12-23,1258.5,1258.95,1257.9,1258.74,3602,0,6,23,12,2018,1,0,0,0,0,1
2018-12-24,1257.8,1269.59,1257.8,1268.77,173349,0,0,24,12,2018,1,0,0,1,0,0
2018-12-25,1269.11,1271.04,1266.97,1267.09,2413,0,1,25,12,2018,1,0,0,0,0,0
2018-12-26,1268.89,1279.12,1264.31,1266.93,215975,0,2,26,12,2018,1,0,0,0,0,0
2018-12-27,1266.95,1278.97,1266.57,1275.61,284998,0,3,27,12,2018,1,0,0,0,0,0
2018-12-28,1275.23,1282.16,1274.3,1280.63,228402,0,4,28,12,2018,1,0,0,0,1,0
2018-12-30,1279.98,1279.98,1278.79,1279.63,2898,0,6,30,12,2018,1,0,0,0,0,1
2018-12-31,1280.47,1284.1,1277.47,1280.12,146820,0,0,31,12,2018,1,0,0,1,0,0
2019-01-01,1281.49,1281.73,1280.61,1281.12,2799,0,1,1,1,2019,1,0,0,0,0,0
